customerID,gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-100000063,Male,1,33.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,93.89,3201.01,No
CUST-100000064,Male,0,6.0,No,Fiber optic,Month-to-month,No,Electronic check,61.54,335.32,Yes
ACCT1000000065,Male,0,45.0,Yes,Fiber optic,One year,Yes,Credit card,86.72,3800.13,Yes
CUST-100000066,Male,0,29.0,No,DSL,Month-to-month,Yes,Credit card,42.74,1203.31,Yes
CUST-100000067,Female,0,5.0,Yes,DSL,Month-to-month,No,Electronic check,48.65,246.64,No
CUST-100000068,Female,0,56.0,Yes,no,One year,Yes,Bank transfer,41.7,2191.24,No
CUST-100000069,Female,0,52.0,No,Fiber optic,Two year,No,Credit card,59.74,3049.96,No
CUST-100000070,Female,0,63.0,Yes,No,Two year,Yes,Credit card,33.89,2230.49,No
CUST-100000071,Female,0,24.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,78.14,1832.85,No
CUST-100000072,Female,1,10.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,86.3,900.07,Yes
CUST-100000073,Male,0,42.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,87.54,3762.4,Yes
ACCT1000000074,Male,0,56.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,92.87,4900.83,Yes
TC-ME-10000075,Female,0,6.0,Yes,Fiber optic,Month-to-month,No,Electronic check,96.91,569.20,Yes
CUST-100000076,Female,1,58.0,Yes,DSL,Two year,Yes,Credit card,53.59,3196.43,No
CUST-100000077,Male,0,28.0,Yes,Fiber optic,One year,Yes,Credit card,80.46,2246.58,No
TC-CH-10000078,Female,1,67.0,yes,DSL,Month-to-month,Yes,Bank transfer,72.87,4869.7,No
100000079-PAX,Male,0,12.0,Yes,DSL,Month-to-month,Yes,Credit card,59.22,684.07,No
ACCT1000000080,Female,0,40.0,Yes,Fiber optic,Month-to-month,No,Mailed check,84.21,3312.67,Yes
TC-FB-10000081,Male,0,53.0,Yes,DSL,One year,Yes,Mailed check,56.28,3061.19,No
CUST-100000082,Male,1,16.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.62,1456.46,Yes
TC-VU-10000083,Female,1,52.0,Yes,No,Month-to-month,Yes,Mailed check,35.1,1827.32,No
CUST-100000084,Female,0,44.0,Yes,Fiber optic,Month-to-month,No,Bank transfer,79.14,3480.14,No
CUST-100000085,Female,0,10.0,Yes,Fiber optic,Month-to-month,No,Bank transfer,88.55,907.14,Yes
CUST-100000086,Male,0,9.0,Yes,DSL,Month-to-month,Yes,Mailed check,66.68,591.01,No
ACCT1000000087,Female,0,43.0,Yes,No,Two year,No,Credit card,35.88,1434.45,No
100000088-JFH,Male,0,22.0,No,Fiber optic,Month-to-month,Yes,Electronic check,65.56,1450.19,No
ACCT1000000089,Female,1,12.0,Yes,DSL,Month-to-month,Yes,Credit card,64.58,755.92,No
CUST-100000090,Female,0,48.0,Yes,DSL,One year,No,Credit card,67.67,3149.33,No
ACCT1000000091,Male,1,57.0,Yes,fiberoptic,One year,Yes,Electronic check,87.18,5276.87,Yes
TC-DN-10000092,Male,1,69.0,Yes,Fiber optic,One year,Yes,Bank transfer,90.92,6324.07,No
ACCT1000000093,Male,0,39.0,Yes,No,monthly,No,Electronic check,50.64,1795.79,No
CUST-100000094,Male,0,50.0,Yes,DSL,Month-to-month,Yes,Mailed check,56.49,2680.33,Yes
CUST-100000095,Female,0,11.0,Yes,Dsl,Month-to-month,Yes,Electronic check,62.51,697.74,Yes
100000096-WMG,Female,0,6.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.23,582.21,Yes
CUST-100000097,Female,0,10.0,Yes,Fiber optic,Month-to-month,No,Mailed check,84.1,846.9,Yes
CUST-100000098,Female,0,3.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.16,286.01,Yes
CUST-100000099,Male,0,55.0,Yes,No,Two year,No,Mailed check,31.57,1635.64,No
ACCT1000000100,Female,0,47.0,Yes,Fiber optic,One year,No,Mailed check,87.52,4078.46,No
CUST-100000101,Male,0,17.0,No,Fiber optic,One year,Yes,Mailed check,72.05,1207.83,No
CUST-100000102,Female,0,15.0,Yes,DSL,Month-to-month,No,Electronic check,57.09,808.1,No
CUST-100000103,Male,0,27.0,Yes,Fiber optic,One year,Yes,Bank transfer,80.61,2134.9,No
ACCT1000000104,Male,0,30.0,YES,No,Two year,Yes,Mailed check,41.42,1271.84,No
CUST-100000105,Male,0,12.0,Yes,Fiber optic,Month-to-month,Yes,  Electronic check  ,93.87,1145.67,Yes
CUST-100000106,Male,0,9.0,Yes,Fiber optic,Month-to-month,No,Electronic check,90.5,756.25,Yes
CUST-100000107,Female,0,51.0,Yes,Fiber optic,One year,No,Bank transfer,79.33,3803.98,No
CUST-100000108,Female,0,16.0,Yes,DSL,One year,Yes,Electronic check,62.01,972.15,Yes
ACCT1000000109,Female,0,21.0,Yes,Fiber optic,One year,No,Electronic check,81.78,1737.15,No
100000110-SLZ,Female,0,33.0,Yes,Fiber optic,Month-to-month,No,Mailed check,85.63,2891.59,Yes
100000111-DKQ,Female,0,52.0,No,DSL,One year,No,Mailed check,42.46,2128.55,No
TC-ET-10000112,Female,0,7.0,No,Fiber optic,Month-to-month,Yes,Electronic check,72.4,526.82,No
CUST-100000113,Male,0,5.0,No,Fiber optic,Month-to-month,Yes,Credit card ,65.36,305.87,No
ACCT1000000114,Female,0,11.0,Yes,Fiber optic,Month-to-month,No,Mailed check,84.8,902.17,Yes
CUST-100000115,Female,0,22.0,Yes,Fiber optic,Two year,Yes,Bank transfer,88.98,1935.55,No
CUST-100000116,Male,0,59.0,Yes, Fiber optic ,Month-to-month,No,Electronic check,90.83,5395.75,No
100000117-NXF,Male,0,34.0,Yes,Fiber optic,two year,No,Credit card,90.28,2952.68,No
CUST-100000118,Female,0,52.0,Yes,No,Two year,Yes,Bank transfer,23.04,1115.83,No
CUST-100000119,Male,0,34.0,Yes,Fiber optic,One year,No,Electronic check,69.38,2316.96,No
ACCT1000000120,Male,0,26.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,87.87,2331.33,No
CUST-100000121,Male,0,32.0,Yes,Fiber optic,Month-to-month,No,Electronic check,84.79,2707.2,No
100000122-MPK,Male,1,27.0,No,DSL,One year,No,Electronic check,42.13,1151.24,No
100000123-JLM,Male,0,62.0,No, Fiber optic ,Month-to-month,Yes,Electronic check,61.87,3862.67,Yes
CUST-100000124,Male,0,60.0,Yes,DSL,Two year,No,Bank transfer,58.01,3460.12,No
ACCT1000000125,Female,0,6.0,Yes,DSL,One year,No,Bank transfer,61.65,350.98,No
TC-GN-10000126,Female,0,55.0,Yes,DSL, One year ,No,Bank transfer,50.83,2803.29,No
CUST-100000127,Male,0,64.0,Yes,No,One year,No,Electronic check,38.72,2475.62, No 
CUST-100000128,Female,0,13.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,82.51,1144.96,Yes
CUST-100000129,Female,0,3.0,Yes,No,Month-to-month,Yes,Bank transfer,29.2,103.02,No
CUST-100000130,Male,0,40.0,Yes,No,One year,No,Bank transfer,39.82,1519.14,No
CUST-100000131,Male,0,36.0,Yes,DSL,Two year,Yes,Mailed check,61.82,2301.27,No
CUST-100000132,Female,1,16.0,Yes,Fiber optic,Two year,No,Mailed check,79.52,1256.3,No
CUST-100000133,Male,0,45.0,Yes,Fiber optic,Two year,Yes,Bank transfer,83.58,3811.07,No
CUST-100000134,Male,0,4.0,Yes,DSL,Month-to-month,Yes,Electronic check,69.68,231.58,Yes
CUST-100000135,Male,0,16.0,Yes,DSL,Month-to-month,Yes,Electronic check,54.31,806.05,Yes
CUST-100000136,Male,0,2.0,Yes,Fiber optic,monthly,Yes,Electronic check,86.88,195.98,No
CUST-100000137,Female,0,20.0,Yes,Fiber optic,Month-to-month,No,Bank transfer,70.3,1439.34,No
ACCT1000000138,Female,0,21.0,Yes,Fiber optic,One year,Yes,Bank transfer,84.81,1795.21,No
ACCT1000000139,Female,0,14.0,No,Fiber optic,Month-to-month,Yes,Electronic check,63.19,963.41,no
CUST-100000140,Male,0,5.0,No,Fiber optic,One year,No,Bank transfer,68.57,316.58,Yes
ACCT1000000141,Male,0,33.0,Yes,Fiber optic,Month-to-month,No,Credit card,79.65,2506.00,No
CUST-100000142,Female,0,30.0,Yes,No,Month-to-month,No,Electronic check,34.99,1084.64,No
CUST-100000143,Female,1,64.0,Yes,No,Two year,Yes,Credit card,32.16,2017.77,No
TC-FS-10000144,Female,0,70.0,Yes,DSL,One year,Yes,Credit card,63.94,4585.97,No
CUST-100000145,Female,0,47.0,Yes,DSL,Month-to-month,No,  Electronic check  ,59.8,2944.49,No
ACCT1000000146,Male,0,3.0,Yes,Fiber optic,One year,Yes,Credit card,77.14,209.32,No
ACCT1000000147,Female,0,3.0,Yes,DSL,Month-to-month,Yes,Credit card,58.75,183.19,Yes
CUST-100000148,Male,0,29.0,Yes,No,Month-to-month,No,Electronic check,35.81,990.96,No
ACCT1000000149,Male,0,10.0,Yes,DSL,Month-to-month,Yes,Mailed check,70.87,658.01,Yes
ACCT1000000150,Male,1,14.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,84.88,1250.95,No
ACCT1000000151,Female,0,7.0,Yes,Fiber optic,Month-to-month,NO,Mailed check,82.28,598.50,Yes
CUST-100000152,Female,0,23.0,Yes,DSL,One year,Yes,Credit card,58.69,1395.24,No
CUST-100000153,Female,0,56.0,Yes,No,One year, Yes ,Mailed check,46.31,2613.49,No
CUST-100000154,Male,1,54.0,Yes,No,Two year,Yes,Bank transfer,40.15,2222.49,No
CUST-100000155,Male,1,56.0,Yes,DSL,Two year,No,Credit card,64.07,3417.41,No
ACCT1000000156,Male,0,6.0,Yes,DSL,One year,Yes,Mailed check,57.15,364.80,Yes
CUST-100000157,Female,0,5.0,Yes,Fiber optic,One year,Yes,Mailed check,87.59,441.79,Yes
CUST-100000158,Male,0,43.0,yes,Fiber optic,Two year, Yes ,Bank transfer,89.26,3802.60,No
ACCT1000000159,Male,0,17.0,Yes,No,Month-to-month,No,Electronic check,27.44,484.51,Yes
CUST-100000160,Male,0,19.0,Yes,No,Month-to-month,Yes,Electronic check,36.01,698.00,Yes
100000161-GLZ,Female,0,60.0,Yes,Fiber optic,Two year,Yes,Credit card,87.58,4923.86,No
TC-BX-10000162,Female,0,30.0,Yes,Fiber optic,Month-to-month,No,Mailed check,80.1,2398.07,Yes
CUST-100000163,Female,1,23.0,Yes,DSL,Month-to-month,No,Bank transfer,64.89,1584.72,No
CUST-100000164,Male,0,45.0,Yes,DSL,Month-to-month,Yes,Bank transfer,69.9,2987.87,No
100000165-YNX,Male,0,34.0,Yes,No,one year,Yes,Credit card,37.91,1213.22,No
CUST-100000166,Male,0,62.0,Yes,No,One year,Yes,Credit card,36.6,2215.72,No
100000167-KES,Male,1,25.0,Yes,No,One year,Yes,Bank transfer,34.43,851.41,No
CUST-100000168,Male,0,10.0,Yes,DSL,Month-to-month,Yes,Mailed check,60.49,605.30,Yes
CUST-100000169,Male,0,45.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,91.57,4264.03,No
CUST-100000170,Male,0,8.0,Yes,DSL,Month-to-month, No ,Electronic check,59.32,476.65,Yes
CUST-100000171,Male,0,35.0,YES,No,Month-to-month,No,Mailed check,37.28,1344.42,No
TC-MG-10000172,Male,0,53.0,Yes,DSL,One year,Yes,Credit card,58.55,3054.69,No
ACCT1000000173,Female,0,6.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.03,569.72,Yes
CUST-100000174,Female,0,68.0,Yes,DSL,One year,No,Credit card,65.53,4492.96,No
ACCT1000000175,Male,0,37.0,Yes,DSL,One year,Yes,Credit card,64.68,2423.84,Yes
CUST-100000176,Male,0,40.0,Yes,Fiber optic,Two year,no,Electronic check,82.53,3009.84,Yes
CUST-100000177,Male,0,3.0,Yes,No,Month-to-month,No,Bank transfer,33.79,111.99,No
TC-CT-10000178,Female,0,46.0,Yes,DSL,Two year,No,Credit card,59.66,2712.97,No
CUST-100000179,Female,1,51.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,85.36,4361.09,No
TC-EV-10000180,Female,0,10.0,Yes,Fiber optic,Month-to-month,No,Bank transfer,84.7,837.99,No
ACCT1000000181,Male,1,7.0,Yes,DSL,Month-to-month,Yes,Electronic check,72.58,500.90,Yes
CUST-100000182,Male,0,53.0,Yes,Dsl,Two year,No,Mailed check,44.82,2457.14,No
TC-HJ-10000183,Female,0,61.0,Yes,Fiber optic,Month-to-month,No,Electronic check,80.34,5104.49,No
CUST-100000184,Female,0,8.0,Yes,No,Month-to-month,No,Electronic check,34.22,308.34,No
CUST-100000185,Female,0,18.0,Yes,No,One year,Yes,Electronic check,33.87,606.28,No
TC-NQ-10000186,Male,0,13.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.95,1153.68,Yes
ACCT1000000187,Male,0,19.0,Yes,No,One year,No,Mailed check,34.56,701.89,Yes
100000188-CYS,Female,0,8.0,Yes,Dsl,Month-to-month,Yes,Electronic check,56.23,440.81,No
100000189-JNU,Male,0,60.0,Yes,DSL,1 year,No,Electronic check,60.66,3779.44,No
CUST-100000190,Male,0,5.0,Yes,No,Month-to-month,No,Mailed check,37.81,184.4,No
ACCT1000000191,Female,0,8.0,Yes,no,Two year,Yes,Credit card,31.66,257.55,No
CUST-100000192,Male,0,12.0,Yes,No,One year,Yes,Mailed check,32.57,382.89,No
100000193-SZT,Male,0,72.0,Yes,No,Month-to-month,Yes,Electronic check,36.71,2457.1,No
CUST-100000194,Female,1,56.0,Yes,No,Two year,Yes,Bank transfer,37.03,1938.21,No
ACCT1000000195,Female,1,6.0,Yes,DSL, Month-to-month ,Yes,Mailed check,71.92,458.42,Yes
TC-EG-10000196,Female,1,32.0,Yes,No,Two year,No, Bank transfer,40.99,1314.60,No
TC-NS-10000197,Male,0,67.0,Yes,No,Month-to-month,Yes,Credit card,38.48,2735.81,No
CUST-100000198,Male,0,6.0,Yes,Fiber optic,Two year,No,Credit card,75.0,459.17,No
CUST-100000199,Male,0,57.0,No,Fiber optic,One year,No,Electronic check,69.66,4074.20,No
ACCT1000000200,Female,0,6.0,Yes,DSL,One year,Yes,Bank transfer,68.97,419.27,No
CUST-100000201,Male,0,22.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,88.38,2021.04,No
ACCT1000000202,Male,0,19.0,NO,Fiber optic,One year,No,Credit card,70.26,1297.28,No
CUST-100000203,Male,0,35.0,yes,Fiber optic,Month-to-month,Yes,Bank transfer,83.22,2906.91,Yes
CUST-100000204,Male,0,17.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,86.79,1477.06,No
ACCT1000000205,Female,0,63.0,Yes, No ,Two year,Yes,Credit card,35.12,2192.29,No
TC-GP-10000206,Male,0,56.0,Yes,Fiber optic,One year,No,Mailed check,83.11,4390.82,Yes
ACCT1000000207,Female,0,49.0,Yes,Fiber optic,Month-to-month,No,Mailed check,87.34,4258.40,No
TC-LV-10000208,Female,0,22.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,92.24,2130.4,Yes
TC-FV-10000209,Male,0,33.0,Yes,Fiber optic,monthly,No,Electronic check,87.56,2851.52,No
ACCT1000000210,Male,0,42.0,Yes,No,One year,Yes,Credit card,44.42,1902.58, No 
ACCT1000000211,Male,0,27.0,Yes,DSL,One year,No,Credit card,61.99,1627.20,No
CUST-100000212,Female,0,21.0,Yes,DSL,One year,No,Mailed check,58.97,1266.39,No
100000213-GDJ,Male,0,18.0,Yes,No,One year,Yes,Bank transfer,45.26,813.60,No
ACCT1000000214,Male,0,20.0,Yes,DSL,Month-to-month,Yes,Electronic check,66.67,1329.68,No
CUST-100000215,Male,1,26.0,Yes,Fiber optic,One year,No,Bank transfer,83.15,2202.54,No
CUST-100000216,Female,0,56.0,Yes,DSL,One year,No,Electronic check,53.84,2994.21,No
CUST-100000217,Male,0,33.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,97.86,3235.16,Yes
100000218-XCB,Male,0,3.0,Yes,Fiber optic,Month-to-month,No,Electronic check,86.87,282.8,No
CUST-100000219,Male,0,10.0,Yes,Fiber optic,One year,No,Bank transfer,81.99,869.25,Yes
TC-PX-10000220,Female,0,32.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,92.49,2894.88,No
TC-JL-10000221,Female,0,7.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.39,534.28,Yes
100000222-CQK,Female,0,8.0,Yes,Fiber optic,Month-to-month,Yes,Mailed check,89.45,698.24,No
100000223-RGK,Male,0,2.0,Yes,No,One year,Yes,Electronic check,39.83,74.17,No
CUST-100000224,Female,0,16.0,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,80.46,1283.37,Yes
CUST-100000225,Male,0,39.0,No,Fiber optic,Two year,Yes,Mailed check,66.81,2653.13,No
ACCT1000000226,Female,0,4.0,No,No,Month-to-month,No,Electronic check,18.02,49.73,No
ACCT1000000227,Female,0,22.0,No,Fiber optic,One year,Yes,Bank transfer,63.29,1381.28,No
CUST-100000228,Male,0,4.0,No,DSL,Month-to-month,No,Bank transfer,48.15,224.48,Yes
CUST-100000229,Male,0,72.0,Yes,DSL,One year,No,Credit card,61.28,4258.1,No
100000230-GKQ,Male,0,70.0,Yes,No,Month-to-month,No,Electronic check,33.53,2239.57,No
CUST-100000231,Female,0,8.0,Yes,dsl,Month-to-month,Yes,Electronic check,64.58,499.13,No
CUST-100000232,Female,0,36.0,Yes,No,Month-to-month,Yes,Mailed check,38.48,1264.81,Yes
CUST-100000233,Female,0,13.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.14,1044.24,Yes
CUST-100000234,Male,0,44.0,No,DSL,One year,Yes,Electronic check,35.21,1530.33,No
CUST-100000235,Female,0,8.0,Yes,Fiber optic,Month-to-month,Yes,Credit card,75.11,620.28,Yes
CUST-100000236,Male,0,11.0,Yes,Fiber optic,Month-to-month,No,Credit card,84.43,944.44,Yes
CUST-100000237,Female,0,21.0,Yes,No,One year,No,Bank transfer,25.57,544.07,No
CUST-100000238,Female,0,58.0,Yes,Fiber optic, Two year ,Yes,Credit card,82.22,4785.68,No
CUST-100000239,Female,0,33.0,Yes,DSL,Month-to-month,Yes,Mailed check,61.21,2050.98,No
TC-QC-10000240,Male,0,62.0,Yes,DSL,One year,No,Credit card,52.23,3114.18,No
ACCT1000000241,Female,0,60.0,Yes,Fiber optic,One year,Yes,Credit card,73.46,4074.35,No
CUST-100000242,Male,0,4.0,Yes,Fiber optic,Month-to-month,No,Credit card,102.72,428.54,Yes
TC-ZH-10000243,Female,0,46.0,Yes,No,One year,No,Mailed check,30.35,1404.97,No
100000244-YBV,Female,1,27.0,Yes,Fiber optic,Two year,Yes,Bank transfer,70.34,1964.50,No
100000245-LRK,Male,0,58.0,Yes,DSL,Two year,Yes,Mailed check,41.51,2340.41,No
ACCT1000000246,Female,0,34.0,Yes,Fiber optic,Two year,Yes,Mailed check,73.85,2430.86,No
TC-UX-10000247,Male,0,53.0,Yes,Fiber optic,One year,No,Mailed check,82.6,4515.71,No
100000248-UUB,Female,0,9.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.9,699.97,No
TC-PU-10000249,Male,0,42.0,No,Fiber optic,Month-to-month,No,Electronic check,64.16,2722.88,No
TC-LB-10000250,Female,0,25.0,Yes,Fiber optic,Month-to-month,No,Electronic check,80.44,2005.45,Yes
CUST-100000251,Female,0,32.0,Yes, DSL ,Month-to-month,No,Electronic check ,64.64,2130.19,No
100000252-VSF,Female,0,10.0,Yes,DSL,One year,No,Electronic check,53.27,517.3,No
CUST-100000253,Female,0,18.0,Yes,Fiber optic,month-to-month,Yes,Electronic check,93.89,1693.5,Yes
ACCT1000000254,Male,0,13.0,Yes,Fiber optic,Month-to-month,No,Electronic check,86.99,1120.78,Yes
CUST-100000255,Male,0,48.0,Yes,Fiber optic,Month-to-month,No,Electronic check,94.82,4665.57,Yes
CUST-100000256,Female,1,56.0,yes,Fiber optic,Month-to-month,YES,Credit card,88.6,4920.09,No
CUST-100000257,Male,0,26.0,Yes,No,One year,No,Electronic check,27.2,719.2,No
100000258-WTH,Female,0,28.0,Yes,DSL,Month-to-month,Yes,Bank transfer,77.6,2257.82,No
CUST-100000259,Male,0,10.0,Yes,DSL,Month-to-month,Yes,Credit card,65.31,674.26,No
100000260-WQC,Male,0,3.0,Yes,DSL,Month-to-month,Yes,Mailed check,54.26,203.87,Yes
CUST-100000261,Female,0,20.0,Yes,No,Month-to-month,Yes,Electronic check,39.21,782.51,No
ACCT1000000262,Female,0,36.0,Yes,DSL,Month-to-month,Yes,Bank transfer,50.75,1874.00,Yes
CUST-100000263,Male,1,2.0,Yes,Fiber optic,Month-to-month,Yes,Electronic check,92.13,172.48,Yes
CUST-100000264,Female,0,,Yes,No,Month-to-month,Yes,Bank transfer,31.63,188.48,No
TC-PG-10000265,Male,0,24.0,Yes,No,One year,No,Bank transfer,39.17,946.11,No
