gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Risk_Score,Risk_Category,Churn_Driver_Explanation,Retention_Recommendation
Male,0,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.75,47.0,Yes,0.9175315068093485,91.8,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.46,509.8,No,0.918165749719992,91.8,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.53,531.29,Yes,0.9178345491267409,91.8,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.63,513.39,Yes,0.9166219521165724,91.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,9,Yes,Fiber optic,Month-to-month,Yes,Electronic check,87.79,721.6,Yes,0.9173563003394328,91.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,83.11,490.42,Yes,0.9163474583795316,91.6,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,4,Yes,Fiber optic,Month-to-month,Yes,Mailed check,92.13,360.03,Yes,0.9162988748641747,91.6,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,88.41,932.11,Yes,0.9153846599756095,91.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.17,173.93,Yes,0.9152888658354675,91.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.01,152.63,Yes,0.9150684451490679,91.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.28,72.55,Yes,0.915157792943918,91.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.76,1236.5,Yes,0.9152000073565656,91.5,High Risk,Month-to-Month Contract | High Monthly Charges,Offer Annual Contract | Provide Loyalty Discount
Female,1,5,Yes,Fiber optic,Month-to-month,Yes,Mailed check,95.56,488.94,Yes,0.9150454414084027,91.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.46,286.2,Yes,0.9138262739375934,91.4,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,17,Yes,Fiber optic,Month-to-month,Yes,Electronic check,101.64,1640.0,Yes,0.9136389323363472,91.4,High Risk,Month-to-Month Contract | High Monthly Charges,Offer Annual Contract | Provide Loyalty Discount
Male,1,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,83.22,685.29,Yes,0.913929429485674,91.4,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.53,642.19,Yes,0.913978358423575,91.4,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.44,352.3,Yes,0.9140847291054267,91.4,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,98.74,654.1,Yes,0.9128089732490816,91.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.89,172.27,Yes,0.9131245916380062,91.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.14,466.87,Yes,0.9126073851568159,91.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.97,613.59,Yes,0.9132314302680667,91.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,5,Yes,Fiber optic,Month-to-month,Yes,Mailed check,91.96,475.9,Yes,0.9131994690874655,91.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.3,231.62,Yes,0.9125813150977614,91.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,82.21,604.94,Yes,0.9125089571468328,91.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,2,Yes,Fiber optic,Month-to-month,Yes,Mailed check,88.15,170.74,No,0.913374188254887,91.3,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.02,290.76,Yes,0.9121840816369902,91.2,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.3,185.93,Yes,0.9122903743679818,91.2,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,11,Yes,Fiber optic,Month-to-month,Yes,Electronic check,88.0,990.39,Yes,0.9119131077928583,91.2,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.03,487.02,Yes,0.911999802581476,91.2,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,92.2,224.25,Yes,0.9120490185417452,91.2,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.88,258.73,No,0.9119848537665439,91.2,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.35,363.1,Yes,0.9121631897255869,91.2,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.95,485.47,Yes,0.911885792312435,91.2,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.23,506.62,Yes,0.9122842453292827,91.2,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,87.91,198.11,Yes,0.9121268491134026,91.2,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.88,195.98,No,0.9106506595653756,91.1,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.07,333.48,Yes,0.9107235467899152,91.1,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.14,305.22,Yes,0.9108245003176202,91.1,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,76.87,365.57,No,0.9104967181036879,91.0,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,9,Yes,Fiber optic,Month-to-month,Yes,Electronic check,83.95,766.04,Yes,0.9087474535971067,90.9,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.57,438.3,Yes,0.9080257492343555,90.8,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,8,Yes,Fiber optic,Month-to-month,No,Electronic check,92.92,815.52,Yes,0.9079019406788625,90.8,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.58,447.48,Yes,0.9080405694502961,90.8,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,88.9,344.65,Yes,0.9075424674425113,90.8,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,8,Yes,Fiber optic,Month-to-month,No,Electronic check,92.65,788.33,Yes,0.9075004979635329,90.8,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,1,Yes,Fiber optic,Month-to-month,Yes,Mailed check,98.45,98.99,Yes,0.9079720843182784,90.8,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.13,250.46,Yes,0.9075794070729343,90.8,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,10,Yes,Fiber optic,Month-to-month,No,Electronic check,94.91,998.5,Yes,0.9080879099074393,90.8,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.61,385.82,Yes,0.9066977546224588,90.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,88.63,241.05,Yes,0.9068324156530658,90.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.66,768.28,Yes,0.9067265138922694,90.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.17,582.22,Yes,0.9073271430055085,90.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.23,196.6,No,0.906749458215254,90.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,4,Yes,Fiber optic,Month-to-month,No,Electronic check,83.77,357.88,Yes,0.9066012855442318,90.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.2,458.36,Yes,0.9074758903105197,90.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.72,272.02,Yes,0.9073781644658155,90.7,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.85,280.73,Yes,0.9060723721816277,90.6,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.92,440.43,Yes,0.9055508433375409,90.6,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.12,147.26,Yes,0.9061702134148171,90.6,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,6,Yes,Fiber optic,Month-to-month,Yes,Mailed check,88.81,559.33,Yes,0.9055701375717623,90.6,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,5,Yes,Fiber optic,Month-to-month,Yes,Mailed check,89.37,435.03,Yes,0.9061072196342578,90.6,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,87.93,1098.5,Yes,0.9057246396576514,90.6,High Risk,Month-to-Month Contract | High Monthly Charges,Offer Annual Contract | Provide Loyalty Discount
Female,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,87.92,249.92,Yes,0.9057623805948799,90.6,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,87.48,243.1,Yes,0.905093746024095,90.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.94,374.47,Yes,0.9045821176089206,90.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,1,16,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.62,1456.46,Yes,0.9049348295226814,90.5,High Risk,Month-to-Month Contract | High Monthly Charges,Offer Annual Contract | Provide Loyalty Discount
Female,0,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.75,475.16,Yes,0.9052924907763416,90.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,87.33,310.62,Yes,0.9048648335082775,90.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.61,736.58,Yes,0.9051793526230096,90.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.53,469.15,No,0.9049572129868956,90.5,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,1,12,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.87,1051.25,Yes,0.9037898779274076,90.4,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.75,562.95,Yes,0.9040761891804016,90.4,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Female,0,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.03,569.72,Yes,0.9040839736163989,90.4,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
Male,0,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.84,318.83,Yes,0.9044288285517461,90.4,High Risk,Month-to-Month Contract | High Monthly Charges | Short Customer Tenure,Offer Annual Contract | Provide Loyalty Discount | Assign Retention Team
